"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","1970",1.08,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","1980",2.81,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","1990",5.06,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","1995",6.11,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2000",7.06,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2005",9.07,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2010",11.34,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2011",12.14,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2012",13.82,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2013",15.41,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2014",16.75,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",18.14,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",18.85,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",19.1,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",19.2,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",19.2,
"AUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",19.2,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","1970",0,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","1980",0,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","1990",4.66,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","1995",4.85,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","2000",4.96,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","2005",5.34,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","2010",5.81,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","2011",5.88,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","2012",11.07,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","2013",11.08,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","2014",11.08,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","2015",11.08,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","2016",11.28,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","2017",11.4,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","2018",40.95,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","2019",40.95,
"AUS","PROTECTEDAREA","MARINE","PC_WATER","A","2020",40.95,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","1970",6.57,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","1980",8.51,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","1990",16,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","1995",18.85,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2000",23.12,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2005",25.32,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2010",26.7,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2011",26.76,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2012",27.38,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2013",27.55,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2014",27.72,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",27.97,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",28.45,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",28.45,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",28.54,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",28.54,
"AUT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",28.54,
"BEL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","1970",0.06,
"BEL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","1980",2.43,
